model_id,dim_hid,alpha,eps,normalize,weight_init,hidden_activation,output_activation,sparsity,weight_scale,patience,delta,train_CE,train_RE,val_CE,val_RE,duration
103,10,0.01,200,True,sparse,sigmoid,softmax,0.1,2.0,10,0,0.1290625,0.11923303906085068,0.11,184.0445718464936,25.398298025131226
104,10,0.01,200,True,sparse,sigmoid,softmax,0.1,2.0,10,0.001,0.05765625,0.04953483345608963,0.0525,77.84809369968859,101.22437691688538
105,10,0.01,200,True,sparse,sigmoid,softmax,0.2,1.0,,,0.02203125,0.021583138972601855,0.02375,37.535917625869224,240.94662404060364
107,10,0.01,200,True,sparse,sigmoid,softmax,0.2,1.0,10,0,0.02578125,0.02703493584827992,0.0225,47.58042406305111,110.57895374298096
108,10,0.01,200,True,sparse,sigmoid,softmax,0.2,1.0,10,0.001,0.0278125,0.03095363040970851,0.025,50.99367049268008,94.34154200553894
109,10,0.01,200,True,sparse,sigmoid,softmax,0.2,2.0,,,0.0171875,0.01840058141157848,0.020625,31.34793516034034,273.0895040035248
111,10,0.01,200,True,sparse,sigmoid,softmax,0.2,2.0,10,0,0.04078125,0.0401418569660161,0.029375,64.48439534606592,104.3448634147644
112,10,0.01,200,True,sparse,sigmoid,softmax,0.2,2.0,10,0.001,0.04,0.04021480292038197,0.033125,62.40783840193287,104.39809775352478
113,10,0.01,200,True,sparse,tanh,softmax,0.1,1.0,,,0.8575,nan,0.863125,nan,178.3461799621582
115,10,0.01,200,True,sparse,tanh,softmax,0.1,1.0,10,0,0.8140625,nan,0.863125,nan,10.245537757873535
116,10,0.01,200,True,sparse,tanh,softmax,0.1,1.0,10,0.001,0.8171875,nan,0.863125,nan,10.321582078933716
117,10,0.01,200,True,sparse,tanh,softmax,0.1,2.0,,,0.8575,nan,0.863125,nan,178.26935124397278
119,10,0.01,200,True,sparse,tanh,softmax,0.1,2.0,10,0,0.85671875,nan,0.863125,nan,10.40864086151123
120,10,0.01,200,True,sparse,tanh,softmax,0.1,2.0,10,0.001,0.825625,nan,0.863125,nan,10.528688430786133
121,10,0.01,200,True,sparse,tanh,softmax,0.2,1.0,,,0.8575,nan,0.863125,nan,175.61326003074646
123,10,0.01,200,True,sparse,tanh,softmax,0.2,1.0,10,0,0.8175,nan,0.863125,nan,10.47107219696045
124,10,0.01,200,True,sparse,tanh,softmax,0.2,1.0,10,0.001,0.8009375,nan,0.863125,nan,10.554487943649292
125,10,0.01,200,True,sparse,tanh,softmax,0.2,2.0,,,0.8575,nan,0.863125,nan,179.52976274490356
127,10,0.01,200,True,sparse,tanh,softmax,0.2,2.0,10,0,0.833125,nan,0.863125,nan,11.539995431900024
128,10,0.01,200,True,sparse,tanh,softmax,0.2,2.0,10,0.001,0.8578125,nan,0.863125,nan,12.558858871459961
129,10,0.01,200,True,sparse,relu,softmax,0.1,1.0,,,0.045625,0.0380507691348953,0.04,55.879377465233155,181.7397482395172
131,10,0.01,200,True,sparse,relu,softmax,0.1,1.0,10,0,0.06140625,0.053856979142222636,0.05375,83.68859173064472,35.04607367515564
132,10,0.01,200,True,sparse,relu,softmax,0.1,1.0,10,0.001,0.4640625,0.2740505728432146,0.45,442.377409806736,9.668424844741821
133,10,0.01,200,True,sparse,relu,softmax,0.1,2.0,,,0.29453125,0.21674959455462514,0.29625,352.6744023611697,131.67984628677368
135,10,0.01,200,True,sparse,relu,softmax,0.1,2.0,10,0,0.29328125,0.2173967894548417,0.29375,357.15721714981356,25.518066883087158
